StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery
4157560,4,5,4,5,5,5,5,4,4,5,1,1,1,3,1,1,1,1,1,3
4192624,3,3,3,3,4,2,4,3,3,3,4,1,1,1,1,1,1,1,1,1
2997859,4,3,4,3,3,2,1,3,1,3,2,3,1,1,1,2,3,1,1,1
4512697,3,4,3,5,5,3,4,1,4,5,3,3,4,3,3,4,4,2,4,3
3753955,2,4,2,4,2,4,3,4,1,3,1,1,1,1,1,1,2,1,1,3
4550722,4,4,4,3,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1
4518019,4,4,1,4,3,3,1,3,1,3,2,1,1,2,1,1,2,2,4,2
4454749,3,4,3,4,3,3,3,4,3,4,2,2,1,4,2,3,1,1,4,3
4371970,2,3,2,2,2,2,1,3,2,3,3,2,1,2,2,2,1,1,2,1
4387111,2,3,3,3,3,2,2,3,4,4,4,1,1,1,4,2,2,3,4,2
4494940,3,4,3,4,4,4,3,3,3,4,2,2,2,3,2,1,1,1,2,1
4475971,4,5,2,4,3,4,4,4,2,3,2,1,1,1,1,2,1,1,2,2
4357441,3,4,3,2,3,3,4,2,3,4,4,4,1,1,1,4,3,1,4,2
4410667,4,4,4,4,4,4,3,4,4,4,1,1,2,1,1,2,1,3,2,2
3697519,5,2,2,1,1,2,1,4,2,3,3,2,1,1,1,5,1,3,1,4
4489990,4,4,4,5,4,4,4,4,4,4,2,1,1,3,1,1,2,1,4,3
4460410,3,4,3,4,4,4,2,2,2,3,3,4,2,3,1,2,2,1,3,2
4537174,4,4,2,3,4,4,4,4,3,4,1,1,1,1,1,1,2,1,2,2
2843548,3,4,2,4,5,4,4,4,3,4,2,1,1,1,1,1,1,1,1,2
4522528,4,4,3,5,4,3,4,4,3,2,3,2,3,2,2,1,1,2,3,2
3684448,2,3,2,3,3,4,3,3,3,3,2,1,1,1,1,1,1,1,1,3
4062529,2,4,4,3,2,2,2,5,3,2,2,2,1,2,1,2,1,1,3,3
4367020,3,3,3,3,3,1,4,3,1,1,1,2,1,1,1,1,1,1,2,3
3061006,3,4,2,3,3,4,4,4,3,3,3,2,1,2,1,1,1,1,2,2
3675505,3,2,4,1,2,2,2,3,2,2,3,4,2,4,2,3,3,2,2,4
3985084,3,4,3,5,4,4,3,4,5,4,1,1,3,2,1,1,1,1,2,1
4320307,4,5,3,4,5,4,5,4,4,4,3,1,1,3,3,2,1,2,3,1
3790174,3,3,1,4,4,4,2,4,3,3,3,2,2,2,2,2,2,4,2,2
4255834,4,4,2,4,4,5,4,4,3,3,1,1,1,1,1,1,1,1,1,1
2455336,4,5,5,4,5,4,4,5,4,4,2,1,1,2,3,1,1,2,3,4
4534162,4,3,4,3,3,4,5,4,4,2,3,4,1,1,1,2,1,1,5,3
4518463,3,4,3,4,4,4,3,3,3,4,3,1,1,3,2,2,3,1,2,3
4049239,4,3,4,2,3,2,2,3,2,4,1,1,1,2,1,1,1,1,2,1
4433194,5,5,4,5,5,4,4,5,5,5,2,2,2,3,1,1,3,1,3,1
4441024,3,5,4,5,5,5,5,5,3,5,4,3,1,3,4,4,2,3,5,4
4098322,3,4,2,4,3,2,1,4,3,4,1,1,1,1,1,1,1,1,1,1
3702835,3,3,3,2,3,1,4,3,3,3,3,4,3,3,4,4,3,3,4,3
3972484,3,3,3,2,2,3,1,4,3,3,3,3,2,2,1,2,2,1,3,2
3731629,4,4,2,5,4,4,3,4,3,4,3,2,1,1,1,3,4,2,4,4
4250521,3,4,3,3,4,3,3,4,4,2,2,1,1,2,2,3,1,1,2,3
4405906,3,4,3,3,3,1,2,3,2,3,1,1,1,1,1,1,1,1,2,1
4091500,4,4,4,3,4,4,4,4,4,4,2,2,1,3,2,2,2,1,3,3
2889514,3,4,3,4,4,4,3,3,4,4,1,1,1,1,1,1,1,4,2,1
4434580,3,4,4,2,3,2,3,4,1,4,1,1,1,4,2,1,1,2,3,2
4250569,2,4,4,2,1,4,4,4,1,1,1,1,1,1,2,1,4,3,2,1
3742918,4,4,3,3,3,4,1,3,3,4,1,1,1,1,1,2,2,1,1,2
3027889,4,4,4,4,3,3,1,4,1,4,2,1,1,2,1,1,1,2,4,3
4372585,4,4,4,4,4,3,4,3,4,2,2,2,1,3,2,3,2,2,4,3
4140799,4,2,2,2,2,4,2,3,4,4,3,2,1,1,1,1,1,1,1,4
4528495,3,3,4,2,3,2,2,2,3,2,3,2,1,1,1,1,2,1,3,1
3808654,3,4,2,2,4,3,3,4,2,3,3,1,1,1,1,2,2,2,1,3
3071056,4,4,3,3,3,2,3,3,4,4,1,1,1,1,1,1,1,1,3,1
4439041,4,4,3,3,4,3,2,3,2,2,4,3,1,2,1,1,2,2,3,1
4522204,4,4,4,3,3,3,3,3,3,3,4,2,1,1,2,2,1,1,3,3
4473610,4,4,3,4,4,3,4,4,4,4,1,2,1,3,3,1,2,2,4,3
4507546,4,4,2,3,3,4,3,3,3,3,1,1,1,2,1,1,1,1,3,1
4492372,3,3,4,3,4,3,2,2,2,3,3,3,1,2,2,2,1,1,4,3
3905830,2,4,2,2,2,2,1,2,1,2,3,3,1,2,1,1,1,1,3,3
3025627,3,4,4,3,3,2,1,4,3,4,2,2,1,1,1,1,1,2,1,1
4386253,5,5,4,4,3,4,3,3,4,5,4,2,1,1,1,1,2,1,2,2
4193020,4,4,3,5,5,2,4,3,4,4,1,2,1,1,1,1,1,1,2,2
