"ï..StartDate";"EndDate";"RecordedDate";"PA_Attentive";"PA_Interested";"PA_Alert";"PA_Excited";"PA_Enthusiastic";"PA_Inspired";"PA_Proud";"PA_Determined";"PA_Strong";"PA_Active";"CompareQ";"mPA";"mPApartner";"PA_Attentive_partner";"PA_Interested_partner";"PA_Alert_partner";"PA_Excited_partner";"PA_Enthusiastic_partner";"PA_Inspired_partner";"PA_Proud_partner";"PA_Determined_partner";"PA_Strong_partner";"PA_Active_partner";"StudentID"
"10/16/2018 22:25:59";"10/16/2018 22:34:05";"10/16/2018 22:34:05";4;4;4;3;3;2;2;3;2;3;2;3;3,8;3;4;4;3;4;3;4;5;4;4;60
"10/16/2018 22:26:44";"10/16/2018 22:34:10";"10/16/2018 22:34:10";3;4;3;3;3;2;4;3;3;4;4;3,2;4;4;5;4;4;4;5;3;4;3;4;61
"10/16/2018 22:25:24";"10/16/2018 22:34:09";"10/16/2018 22:34:10";4;5;4;4;4;5;3;4;3;4;4;4;3,2;3;4;3;3;3;2;4;3;3;4;62
"10/16/2018 22:25:37";"10/16/2018 22:34:10";"10/16/2018 22:34:11";5;5;3;4;5;5;2;3;3;3;4;3,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63
"10/16/2018 22:25:31";"10/16/2018 22:34:15";"10/16/2018 22:34:15";2;4;2;3;3;3;1;2;2;2;3;2,4;2,9;3;3;4;2;2;4;4;2;2;3;64
"10/16/2018 22:26:37";"10/16/2018 22:34:22";"10/16/2018 22:34:23";2;3;3;4;4;3;2;2;2;2;3;2,7;3,6;3;4;4;4;4;2;3;4;4;4;65
"10/16/2018 22:25:43";"10/16/2018 22:34:22";"10/16/2018 22:34:23";3;4;4;4;4;2;3;4;4;4;3;3,6;2,7;2;3;3;4;4;3;2;2;2;2;66
"10/16/2018 22:25:28";"10/16/2018 22:34:25";"10/16/2018 22:34:26";2;5;2;4;4;4;4;3;3;2;2;3,3;4,2;4;4;3;5;5;4;5;4;4;4;67
"10/16/2018 22:25:39";"10/16/2018 22:34:26";"10/16/2018 22:34:27";3;4;3;3;3;2;3;4;4;3;3;3,2;3,2;4;4;3;4;3;2;3;3;3;3;68
"10/16/2018 22:25:52";"10/16/2018 22:34:27";"10/16/2018 22:34:28";4;4;3;4;3;2;3;3;3;3;3;3,2;3,2;3;4;3;3;3;2;3;4;4;3;69
"10/16/2018 22:25:26";"10/16/2018 22:34:29";"10/16/2018 22:34:29";4;4;4;2;3;3;2;4;3;4;3;3,3;3,1;4;4;3;3;4;2;2;3;2;4;70
"10/16/2018 22:25:26";"10/16/2018 22:34:28";"10/16/2018 22:34:30";4;4;3;5;5;4;5;4;4;4;4;4,2;3,3;2;5;2;4;4;4;4;3;3;2;71
"10/16/2018 22:26:07";"10/16/2018 22:34:33";"10/16/2018 22:34:34";4;4;3;3;4;2;2;3;2;4;4;3,1;3,3;4;4;4;2;3;3;2;4;3;4;72
"10/16/2018 22:25:59";"10/16/2018 22:34:36";"10/16/2018 22:34:37";3;3;4;2;2;4;4;2;2;3;3;2,9;2,4;2;4;2;3;3;3;1;2;2;2;73
"10/16/2018 22:25:53";"10/16/2018 22:35:04";"10/16/2018 22:35:05";3;4;4;3;4;3;4;5;4;4;2;3,8;3;4;4;4;3;3;2;2;3;2;3;74
"10/16/2018 22:25:26";"10/16/2018 22:35:12";"10/16/2018 22:35:13";3;3;3;2;2;3;2;2;3;3;2;2,6;3,4;3;4;4;4;4;4;3;3;2;3;75
"10/16/2018 22:26:35";"10/16/2018 22:35:14";"10/16/2018 22:35:14";4;4;3;2;3;5;4;5;2;2;4;3,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76
"10/16/2018 22:26:43";"10/16/2018 22:35:14";"10/16/2018 22:35:15";4;4;3;3;2;2;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77
"10/16/2018 22:25:26";"10/16/2018 22:35:15";"10/16/2018 22:35:16";3;4;4;4;4;4;3;3;2;3;3;3,4;2,6;3;3;3;2;2;3;2;2;3;3;78
"10/16/2018 22:26:25";"10/16/2018 22:35:17";"10/16/2018 22:35:17";4;3;3;4;4;4;4;3;4;4;3;3,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79
