StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery,globalPA,globalNA
4460410,2,2,2,2,3,1,3,2,2,2,2,4,3,4,3,4,3,1,2,4,2,4
4236772,2,4,2,5,3,4,3,3,3,2,3,2,1,2,2,3,2,3,4,2,5,2
4475971,4,4,2,3,3,3,4,4,2,3,1,1,1,1,1,1,1,1,2,1,4,2
4225096,2,2,1,3,2,2,3,3,4,2,1,3,1,3,1,1,1,1,1,1,2,2
4275730,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,5,5,2,4,4,2
4454749,3,4,3,3,3,4,3,4,3,4,2,2,1,2,1,1,1,1,1,2,4,2
4528495,2,2,2,4,4,2,3,3,2,2,1,1,1,1,1,1,1,1,1,2,4,1
2455336,3,4,4,4,5,3,4,5,4,5,1,1,1,2,1,1,1,1,1,2,4,2
4359280,3,3,4,4,2,4,1,3,4,1,4,2,1,1,1,2,1,1,3,1,4,3
4062529,2,3,4,4,4,3,3,5,2,2,1,1,1,2,1,1,1,1,1,1,3,2
4250326,2,3,3,2,3,2,3,4,3,3,2,2,1,4,1,2,2,2,3,3,2,4
4353685,3,3,3,1,2,1,1,2,1,4,2,1,1,3,1,1,1,1,3,3,4,2
4486630,2,4,1,4,2,2,1,2,2,1,2,1,3,2,1,1,1,1,4,1,3,2
2843548,3,4,3,4,3,4,4,3,3,3,3,1,1,1,2,2,1,3,2,2,2,3
2997859,3,2,3,1,1,1,1,2,1,3,1,3,1,3,1,1,1,1,1,1,2,4
4372585,3,3,1,4,4,4,4,5,4,2,1,1,1,2,2,2,1,2,1,1,4,1
3712582,4,4,3,4,4,4,5,5,2,4,1,1,1,1,1,1,4,4,1,1,4,1
4091500,3,4,4,3,3,3,3,4,4,3,2,2,2,2,2,2,2,3,2,2,3,3
3921430,2,3,3,3,2,2,2,3,3,2,4,1,1,2,1,3,1,1,5,2,2,4
4371970,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,3,3
4222156,4,5,2,5,4,4,3,4,3,5,2,1,3,2,2,2,1,1,3,1,4,2
3670873,2,3,2,3,3,2,4,3,2,2,3,2,2,3,1,2,3,1,2,2,2,4
4434580,4,5,3,4,5,3,4,4,3,4,2,1,1,2,1,2,1,1,2,2,4,3
4448578,3,4,3,2,2,3,3,4,2,3,3,3,1,1,2,2,2,2,4,4,2,3
3731629,4,4,2,5,4,4,4,5,4,4,4,1,1,1,2,2,1,1,2,3,4,2
4507546,3,3,2,4,4,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,4,2
4377340,2,3,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,4
4255834,4,5,4,3,4,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,3,3
4310419,3,4,4,3,3,3,3,3,4,4,3,4,1,3,2,2,4,1,3,3,3,4
4553305,4,4,1,5,4,3,4,5,4,5,1,4,1,2,1,1,1,2,3,1,5,1
4538170,4,4,4,4,4,4,4,4,4,4,2,1,1,1,2,1,2,1,3,2,4,2
4006768,3,4,3,3,3,3,4,4,3,4,1,1,1,1,1,1,1,1,1,1,4,3
4283713,4,3,2,2,2,2,2,3,4,4,3,4,2,4,1,1,1,1,3,2,2,4
4367020,4,4,4,4,4,3,3,4,3,3,2,1,1,1,1,1,1,1,1,2,4,2
4226050,3,5,4,4,4,4,3,4,3,3,3,3,1,1,3,4,3,1,4,2,4,2
4386691,2,2,1,4,4,1,2,3,3,3,1,1,1,2,1,1,1,1,1,2,4,3
4357441,5,3,3,3,3,3,4,3,4,3,1,3,1,2,1,1,2,1,1,2,2,4
4501108,3,2,3,4,3,3,4,2,3,3,3,2,1,1,1,2,1,2,3,4,2,3
3690172,3,3,1,3,3,3,3,3,2,2,3,2,1,2,1,1,1,1,1,1,1,4
4130758,4,2,3,3,3,2,3,3,3,4,4,2,1,2,3,2,1,1,4,3,3,2
4386448,3,3,3,3,2,3,3,4,3,3,1,2,1,1,2,2,1,1,2,2,4,2
3027889,3,3,4,3,4,4,3,3,2,2,2,1,1,3,2,2,1,2,2,2,2,3
3790174,3,2,3,3,2,2,2,4,2,3,4,4,2,2,4,4,4,4,4,3,1,4
4193020,4,4,2,4,4,2,2,3,2,4,1,1,1,2,1,1,1,1,1,1,4,2
4518463,3,4,3,4,3,3,3,2,2,3,4,3,1,3,3,4,1,1,4,4,3,3
3033202,3,4,2,4,3,3,3,3,3,4,1,1,1,2,1,3,1,1,1,1,2,3
4502353,2,5,4,5,3,2,3,5,3,4,2,1,1,2,1,1,1,1,2,3,4,2
3071056,4,3,3,4,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,2,4,2
3042859,3,3,4,2,2,2,2,2,2,2,3,2,2,1,1,1,1,3,2,1,4,3
4250545,3,3,3,3,4,4,4,4,4,4,2,2,1,1,3,1,1,1,2,1,4,3
4494115,3,2,2,4,4,3,4,3,4,3,1,1,1,3,1,1,1,1,2,1,3,4
3972484,3,3,4,3,3,3,2,3,2,4,4,4,2,3,2,2,2,2,4,3,2,4
2964868,3,4,4,2,3,2,3,4,3,4,2,1,2,3,1,1,1,1,2,1,2,3
4046608,5,5,3,5,5,5,5,4,4,4,5,5,2,5,2,2,4,4,5,5,5,1
3797737,4,5,4,4,4,4,3,4,4,5,1,1,1,2,1,2,1,1,2,1,3,3
4146412,3,4,2,3,3,4,2,2,2,4,2,3,2,4,4,2,1,2,4,2,3,3
3696493,2,2,2,2,2,2,3,3,3,1,4,4,3,4,4,3,2,2,3,4,2,3
